Time,"value {model=""deepseek-r1:8b"", name=""response_time_code_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_code_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_comprehension_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_comprehension_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_knowledge_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_knowledge_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_logic_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_logic_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_math_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_math_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_science_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_science_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_writing_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_writing_open"", scenario=""default""}"
2025-04-18 2:29,,,,,,,,,,,4.35 mins,,,
2025-04-18 2:30,,,,3.57 mins,,,,,,,,,,
2025-04-18 2:32,,,,,,3.29 mins,,,,,,,,
2025-04-18 2:34,,,4.01 mins,,,,,,,,,,,
2025-04-18 2:36,,,,,4.57 mins,,,,,,,,,
2025-04-18 2:39,,,,,,,,,,,,4.65 mins,,
2025-04-18 2:43,,,,,,,,,,,3.82 mins,,,
2025-04-18 2:45,,,,,,2.77 mins,,,,,,,,
2025-04-18 2:47,,,,,1.56 mins,,,,,,,,,
2025-04-18 2:52,,,,,,,,,,4.21 mins,,,,
2025-04-18 2:53,,,,,,,,,,4.82 mins,,,,
2025-04-18 2:53,,,,,,,,,,4.82 mins,,,,
2025-04-18 2:54,,,,,,,,,,5.98 mins,,,,
2025-04-18 2:56,,,,,,,,,,8.01 mins,,,,
2025-04-18 2:58,,,,,,,,,,9.85 mins,,,,
2025-04-18 2:59,,,,,,,,,,11.23 mins,,,,
2025-04-18 3:00,,,,,,,,,,11.64 mins,,,,
2025-04-18 3:01,,,,,,,,,,12.98 mins,,,,
2025-04-18 3:02,,,,,,,,,,13.96 mins,,,,
2025-04-18 3:02,,,,,,,,,10.18 mins,,,,,
2025-04-18 3:05,,,,,,,,,10.81 mins,,,,,
2025-04-18 3:05,,,,,,,,,9.31 mins,,,,,
2025-04-18 3:06,,,,,,,,,12.95 mins,,,,,
2025-04-18 3:06,,,,,,,,,12.97 mins,,,,,
2025-04-18 3:07,,,,,,,,,9.48 mins,,,,,
2025-04-18 3:09,,,,,,,,,9.21 mins,,,,,
2025-04-18 3:09,,,,,,,,,7.57 mins,,,,,
2025-04-18 3:09,,,,,,,,,9.44 mins,,,,,
2025-04-18 3:10,,,,,,,,,8.44 mins,,,,,
2025-04-18 3:13,,,,,,,,10.52 mins,,,,,,
2025-04-18 3:13,,,,,,,,8.51 mins,,,,,,
2025-04-18 3:13,,,,,,,,8.10 mins,,,,,,
2025-04-18 3:15,,,,,,,,9.03 mins,,,,,,
2025-04-18 3:17,,,,,,,,9.88 mins,,,,,,
2025-04-18 3:18,,,,,,,,9.16 mins,,,,,,
2025-04-18 3:18,,,,,,,,9.07 mins,,,,,,
2025-04-18 3:20,,,,,,,,14.27 mins,,,,,,
2025-04-18 3:22,,,,,,,,13.21 mins,,,,,,
2025-04-18 3:24,,,,,,,,13.17 mins,,,,,,
2025-04-18 3:30,,,,,,,17.19 mins,,,,,,,
2025-04-18 3:31,,,,,,,16.56 mins,,,,,,,
2025-04-18 3:32,,,,,,,18.17 mins,,,,,,,
2025-04-18 3:38,,,,,,,24.64 mins,,,,,,,
2025-04-18 3:44,,,,,,,25.99 mins,,,,,,,
2025-04-18 3:47,,,,,,,29.01 mins,,,,,,,
2025-04-18 3:50,,,,,,,33.17 mins,,,,,,,
2025-04-18 3:55,,,,,,,34.37 mins,,,,,,,
2025-04-18 3:59,,,,,,,35.16 mins,,,,,,,
2025-04-18 4:06,,,,,,,43.59 mins,,,,,,,
2025-04-18 4:29,,57.04 mins,,,,,,,,,,,,
2025-04-18 4:45,,1.22 hours,,,,,,,,,,,,
2025-04-18 4:46,,1.27 hours,,,,,,,,,,,,
2025-04-18 4:56,,1.10 hours,,,,,,,,,,,,
2025-04-18 5:18,,1.67 hours,,,,,,,,,,,,
2025-04-18 5:19,,1.58 hours,,,,,,,,,,,,
2025-04-18 5:27,,1.67 hours,,,,,,,,,,,,
2025-04-18 5:35,,1.67 hours,,,,,,,,,,,,
2025-04-18 5:37,1.13 hours,,,,,,,,,,,,,
2025-04-18 5:39,,1.67 hours,,,,,,,,,,,,
2025-04-18 5:45,59.10 mins,,,,,,,,,,,,,
2025-04-18 5:45,1.01 hours,,,,,,,,,,,,,
2025-04-18 5:46,,1.67 hours,,,,,,,,,,,,
2025-04-18 5:47,50.97 mins,,,,,,,,,,,,,
2025-04-18 5:53,35.12 mins,,,,,,,,,,,,,
2025-04-18 5:54,27.60 mins,,,,,,,,,,,,,
2025-04-18 5:55,36.56 mins,,,,,,,,,,,,,
2025-04-18 5:58,23.41 mins,,,,,,,,,,,,,
2025-04-18 6:02,23.62 mins,,,,,,,,,,,,,
2025-04-18 6:09,23.21 mins,,,,,,,,,,,,,
2025-04-18 6:10,,,,,,,,,,,,,,33.16 mins
2025-04-18 6:13,,,,,,,,,,,,,,28.03 mins
2025-04-18 6:27,,,,,,,,,,,,,,41.45 mins
2025-04-18 6:29,,,,,,,,,,,,,,35.73 mins
2025-04-18 6:30,,,,,,,,,,,,,,35.30 mins
2025-04-18 6:34,,,,,,,,,,,,,,46.42 mins
2025-04-18 6:51,,,,,,,,,,,,,,52.92 mins
2025-04-18 6:54,,,,,,,,,,,,,,58.31 mins
2025-04-18 7:01,,,,,,,,,,,,,,51.34 mins
2025-04-18 7:01,,,,,,,,,,,,,51.55 mins,
2025-04-18 7:02,,,,,,,,,,,,,,59.81 mins
2025-04-18 7:03,,,,,,,,,,,,,49.86 mins,
2025-04-18 7:11,,,,,,,,,,,,,41.53 mins,
2025-04-18 7:14,,,,,,,,,,,,,39.61 mins,
2025-04-18 7:16,,,,,,,,,,,,,49.35 mins,
2025-04-18 7:18,,,,,,,,,,,,,48.67 mins,
2025-04-18 7:22,,,,,,,,,,,,,28.56 mins,
2025-04-18 7:24,,,,,,,,,,,,,32.98 mins,
2025-04-18 7:26,,,,24.49 mins,,,,,,,,,,
2025-04-18 7:27,,,,,,,,,,,,,26.42 mins,
2025-04-18 7:30,,,,26.23 mins,,,,,,,,,,
2025-04-18 7:30,,,,18.96 mins,,,,,,,,,,
2025-04-18 7:31,,,,17.54 mins,,,,,,,,,,
2025-04-18 7:33,,,,,,,,,,,,,30.84 mins,
2025-04-18 7:34,,,,15.76 mins,,,,,,,,,,
2025-04-18 7:36,,,,19.65 mins,,,,,,,,,,
2025-04-18 7:37,,,,15.11 mins,,,,,,,,,,
2025-04-18 7:38,,,,13.67 mins,,,,,,,,,,
2025-04-18 7:42,,,16.13 mins,,,,,,,,,,,
2025-04-18 7:43,,,,16.03 mins,,,,,,,,,,
2025-04-18 7:46,,,16.76 mins,,,,,,,,,,,
2025-04-18 7:49,,,19.31 mins,,,,,,,,,,,
2025-04-18 7:51,,,,17.70 mins,,,,,,,,,,
2025-04-18 7:52,,,20.99 mins,,,,,,,,,,,
2025-04-18 7:52,,,18.24 mins,,,,,,,,,,,
2025-04-18 7:57,,,19.23 mins,,,,,,,,,,,
2025-04-18 7:58,,,21.64 mins,,,,,,,,,,,
2025-04-18 8:00,,,22.74 mins,,,,,,,,,,,
2025-04-18 8:04,,,20.66 mins,,,,,,,,,,,
2025-04-18 8:06,,,,,,,,,,,,23.60 mins,,
2025-04-18 8:15,,,23.93 mins,,,,,,,,,,,
2025-04-18 8:20,,,,,,,,,,,,30.64 mins,,
2025-04-18 8:21,,,,,,,,,,,,28.96 mins,,
2025-04-18 8:23,,,,,,,,,,,,36.32 mins,,
2025-04-18 8:27,,,,,,,,,,,,34.71 mins,,
2025-04-18 8:35,,,,,,,,,,,,38.78 mins,,
2025-04-18 8:38,,,,,,,,,,,,37.97 mins,,
2025-04-18 8:40,,,,,,,,,,,,36.16 mins,,
2025-04-18 8:45,,,,,,,,,,,39.49 mins,,,
2025-04-18 8:46,,,,,,,,,,,,48.46 mins,,
2025-04-18 8:50,,,,,,,,,,,30.42 mins,,,
2025-04-18 8:54,,,,,,,,,,,32.96 mins,,,
2025-04-18 8:56,,,,,,,,,,,32.90 mins,,,
2025-04-18 9:02,,,,,,,,,,,34.39 mins,,,
2025-04-18 9:04,,,,,,,,,,,,49.08 mins,,
2025-04-18 9:06,,,,,,,,,,,30.91 mins,,,
2025-04-18 9:07,,,,,,,,,,,28.41 mins,,,
2025-04-18 9:11,,,,,,,,,,,30.89 mins,,,
2025-04-18 9:13,,,,,,27.57 mins,,,,,,,,
2025-04-18 9:15,,,,,,,,,,,28.65 mins,,,
2025-04-18 9:17,,,,,,26.80 mins,,,,,,,,
2025-04-18 9:20,,,,,,18.44 mins,,,,,,,,
2025-04-18 9:21,,,,,,27.12 mins,,,,,,,,
2025-04-18 9:22,,,,,,26.05 mins,,,,,,,,
2025-04-18 9:24,,,,,,,,,,,19.98 mins,,,
2025-04-18 9:29,,,,,,18.33 mins,,,,,,,,
2025-04-18 9:29,,,,,,22.68 mins,,,,,,,,
2025-04-18 9:30,,,,,,24.02 mins,,,,,,,,
2025-04-18 9:32,,,,,18.91 mins,,,,,,,,,
2025-04-18 9:36,,,,,15.81 mins,,,,,,,,,
2025-04-18 9:36,,,,,19.62 mins,,,,,,,,,
2025-04-18 9:37,,,,,,22.20 mins,,,,,,,,
2025-04-18 9:41,,,,,19.80 mins,,,,,,,,,
2025-04-18 9:44,,,,,,20.11 mins,,,,,,,,
2025-04-18 9:46,,,,,23.91 mins,,,,,,,,,
2025-04-18 9:46,,,,,16.52 mins,,,,,,,,,
2025-04-18 9:49,,,,,19.74 mins,,,,,,,,,
2025-04-18 9:52,,,,,21.54 mins,,,,,,,,,
2025-04-18 9:52,,,,,15.39 mins,,,,,,,,,
2025-04-18 9:52,,,,,8.34 mins,,,,,,,,,
