Time,"value {model=""llama3"", name=""response_time_code_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_code_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_comprehension_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_comprehension_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_knowledge_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_knowledge_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_logic_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_logic_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_math_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_math_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_science_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_science_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_writing_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_writing_open"", scenario=""default""}"
2025-04-13 16:53,,,,,31.74 s,,,,,,,,,
2025-04-13 16:53,,,,,32.47 s,,,,,,,,,
2025-04-13 16:55,,,,,,,,,,23.71 s,,,,
2025-04-13 16:55,,,,,,,,,,24.67 s,,,,
2025-04-13 16:55,,,,,,,,,,26.52 s,,,,
2025-04-13 16:55,,,,,,,,,,26.52 s,,,,
2025-04-13 16:55,,,,,,,,,,39.71 s,,,,
2025-04-13 16:55,,,,,,,,,,51.65 s,,,,
2025-04-13 16:55,,,,,,,,,,55.21 s,,,,
2025-04-13 16:56,,,,,,,,,59.05 s,,,,,
2025-04-13 16:56,,,,,,,,,1.26 mins,,,,,
2025-04-13 16:56,,,,,,,,,,1.87 mins,,,,
2025-04-13 16:57,,,,,,,,,1.67 mins,,,,,
2025-04-13 16:57,,,,,,,,,,2.33 mins,,,,
2025-04-13 16:57,,,,,,,,,2.01 mins,,,,,
2025-04-13 16:57,,,,,,,,,1.83 mins,,,,,
2025-04-13 16:57,,,,,,,,,1.90 mins,,,,,
2025-04-13 16:57,,,,,,,,,,2.96 mins,,,,
2025-04-13 16:58,,,,,,,,,2.33 mins,,,,,
2025-04-13 16:58,,,,,,,,,1.34 mins,,,,,
2025-04-13 16:58,,,,,,,,1.93 mins,,,,,,
2025-04-13 16:58,,,,,,,,1.57 mins,,,,,,
2025-04-13 16:58,,,,,,,,1.29 mins,,,,,,
2025-04-13 16:58,,,,,,,,2.16 mins,,,,,,
2025-04-13 16:58,,,,,,,,,1.51 mins,,,,,
2025-04-13 16:59,,,,,,,,,1.17 mins,,,,,
2025-04-13 16:59,,,,,,,,1.75 mins,,,,,,
2025-04-13 16:59,,,,,,,,1.85 mins,,,,,,
2025-04-13 17:00,,,,,,,,1.89 mins,,,,,,
2025-04-13 17:00,,,,,,,,2.37 mins,,,,,,
2025-04-13 17:00,,,,,,,,2.09 mins,,,,,,
2025-04-13 17:02,,,,,,,3.81 mins,,,,,,,
2025-04-13 17:03,,,,,,,4.96 mins,,,,,,,
2025-04-13 17:03,,,,,,,,4.52 mins,,,,,,
2025-04-13 17:03,,,,,,,4.89 mins,,,,,,,
2025-04-13 17:04,,,,,,,5.72 mins,,,,,,,
2025-04-13 17:06,,,,,,,6.48 mins,,,,,,,
2025-04-13 17:06,,,,,,,7.02 mins,,,,,,,
2025-04-13 17:06,,,,,,,6.58 mins,,,,,,,
2025-04-13 17:06,,,,,,,6.33 mins,,,,,,,
2025-04-13 17:09,,,,,,,5.62 mins,,,,,,,
2025-04-13 17:09,,,,,,,8.41 mins,,,,,,,
2025-04-13 17:11,,8.96 mins,,,,,,,,,,,,
2025-04-13 17:12,,8.86 mins,,,,,,,,,,,,
2025-04-13 17:14,,10.70 mins,,,,,,,,,,,,
2025-04-13 17:14,,10.04 mins,,,,,,,,,,,,
2025-04-13 17:16,,9.74 mins,,,,,,,,,,,,
2025-04-13 17:16,,10.41 mins,,,,,,,,,,,,
2025-04-13 17:17,,11.23 mins,,,,,,,,,,,,
2025-04-13 17:18,,11.64 mins,,,,,,,,,,,,
2025-04-13 17:18,6.77 mins,,,,,,,,,,,,,
2025-04-13 17:20,,10.77 mins,,,,,,,,,,,,
2025-04-13 17:20,9.17 mins,,,,,,,,,,,,,
2025-04-13 17:21,,12.21 mins,,,,,,,,,,,,
2025-04-13 17:22,6.41 mins,,,,,,,,,,,,,
2025-04-13 17:22,8.28 mins,,,,,,,,,,,,,
2025-04-13 17:23,9.14 mins,,,,,,,,,,,,,
2025-04-13 17:24,7.42 mins,,,,,,,,,,,,,
2025-04-13 17:24,6.40 mins,,,,,,,,,,,,,
2025-04-13 17:25,7.20 mins,,,,,,,,,,,,,
2025-04-13 17:26,6.64 mins,,,,,,,,,,,,,
2025-04-13 17:27,6.49 mins,,,,,,,,,,,,,
2025-04-13 17:33,,,,,,,,,,,,,,12.63 mins
2025-04-13 17:33,,,,,,,,,,,,,,14.54 mins
2025-04-13 17:36,,,,,,,,,,,,,,13.64 mins
2025-04-13 17:38,,,,,,,,,,,,,,15.82 mins
2025-04-13 17:42,,,,,,,,,,,,,,18.80 mins
2025-04-13 17:42,,,,,,,,,,,,,,18.95 mins
2025-04-13 17:46,,,,,,,,,,,,,,21.84 mins
2025-04-13 17:48,,,,,,,,,,,,,,22.26 mins
2025-04-13 17:48,,,,,,,,,,,,,14.89 mins,
2025-04-13 17:50,,,,,,,,,,,,,14.25 mins,
2025-04-13 17:50,,,,,,,,,,,,,17.01 mins,
2025-04-13 17:52,,,,,,,,,,,,,,24.08 mins
2025-04-13 17:52,,,,,,,,,,,,,10.20 mins,
2025-04-13 17:53,,,,,,,,,,,,,14.58 mins,
2025-04-13 17:53,,,,,,,,,,,,,,26.84 mins
2025-04-13 17:54,,,,5.90 mins,,,,,,,,,,
2025-04-13 17:54,,,,4.16 mins,,,,,,,,,,
2025-04-13 17:54,,,,4.41 mins,,,,,,,,,,
2025-04-13 17:54,,,,,,,,,,,,,11.97 mins,
2025-04-13 17:55,,,,2.53 mins,,,,,,,,,,
2025-04-13 17:55,,,,,,,,,,,,,9.49 mins,
2025-04-13 17:55,,,,2.65 mins,,,,,,,,,,
2025-04-13 17:56,,,,,,,,,,,,,8.19 mins,
2025-04-13 17:57,,,,,,,,,,,,,5.09 mins,
2025-04-13 17:58,,,3.70 mins,,,,,,,,,,,
2025-04-13 17:58,,,4.36 mins,,,,,,,,,,,
2025-04-13 17:58,,,,3.72 mins,,,,,,,,,,
2025-04-13 17:59,,,,3.37 mins,,,,,,,,,,
2025-04-13 17:59,,,,,,,,,,,,,5.66 mins,
2025-04-13 17:59,,,4.51 mins,,,,,,,,,,,
2025-04-13 17:59,,,,2.69 mins,,,,,,,,,,
2025-04-13 18:00,,,,3.76 mins,,,,,,,,,,
2025-04-13 18:01,,,5.66 mins,,,,,,,,,,,
2025-04-13 18:01,,,5.79 mins,,,,,,,,,,,
2025-04-13 18:03,,,4.75 mins,,,,,,,,,,,
2025-04-13 18:03,,,,4.59 mins,,,,,,,,,,
2025-04-13 18:04,,,5.17 mins,,,,,,,,,,,
2025-04-13 18:05,,,,,,,,,,,,6.56 mins,,
2025-04-13 18:05,,,,,,,,,,,,7.38 mins,,
2025-04-13 18:06,,,6.55 mins,,,,,,,,,,,
2025-04-13 18:07,,,7.92 mins,,,,,,,,,,,
2025-04-13 18:09,,,,,,,,,,,,10.15 mins,,
2025-04-13 18:11,,,,,,,,,,,,10.22 mins,,
2025-04-13 18:12,,,8.10 mins,,,,,,,,,,,
2025-04-13 18:12,,,,,,,,,,,,10.80 mins,,
2025-04-13 18:14,,,,,,,,,,,,10.89 mins,,
2025-04-13 18:14,,,,,,,,,,,9.17 mins,,,
2025-04-13 18:15,,,,,,,,,,,10.48 mins,,,
2025-04-13 18:17,,,,,,,,,,,,13.13 mins,,
2025-04-13 18:17,,,,,,,,,,,8.09 mins,,,
2025-04-13 18:20,,,,,,,,,,,,13.54 mins,,
2025-04-13 18:20,,,,,,,,,,,,12.28 mins,,
2025-04-13 18:21,,,,,,,,,,,10.25 mins,,,
2025-04-13 18:21,,,,,,,,,,,,9.93 mins,,
2025-04-13 18:22,,,,,,7.38 mins,,,,,,,,
2025-04-13 18:22,,,,,,,,,,,8.35 mins,,,
2025-04-13 18:23,,,,,,7.53 mins,,,,,,,,
2025-04-13 18:23,,,,,,,,,,,11.17 mins,,,
2025-04-13 18:23,,,,,,6.01 mins,,,,,,,,
2025-04-13 18:25,,,,,,3.54 mins,,,,,,,,
2025-04-13 18:25,,,,,,,,,,,8.14 mins,,,
2025-04-13 18:25,,,,,,,,,,,5.58 mins,,,
2025-04-13 18:26,,,,,4.07 mins,,,,,,,,,
2025-04-13 18:26,,,,,,,,,,,6.40 mins,,,
2025-04-13 18:27,,,,,3.89 mins,,,,,,,,,
2025-04-13 18:27,,,,,,4.27 mins,,,,,,,,
2025-04-13 18:27,,,,,4.00 mins,,,,,,,,,
2025-04-13 18:27,,,,,2.68 mins,,,,,,,,,
2025-04-13 18:27,,,,,,4.31 mins,,,,,,,,
2025-04-13 18:28,,,,,,,,,,,6.30 mins,,,
2025-04-13 18:28,,,,,,3.32 mins,,,,,,,,
2025-04-13 18:29,,,,,,3.17 mins,,,,,,,,
2025-04-13 18:29,,,,,2.08 mins,,,,,,,,,
2025-04-13 18:29,,,,,,2.95 mins,,,,,,,,
2025-04-13 18:29,,,,,1.83 mins,,,,,,,,,
2025-04-13 18:29,,,,,57.23 s,,,,,,,,,
2025-04-13 18:30,,,,,,1.82 mins,,,,,,,,
2025-04-13 18:30,,,,,1.09 mins,,,,,,,,,
2025-04-13 18:30,,,,,49.43 s,,,,,,,,,
2025-04-13 18:30,,,,,18.26 s,,,,,,,,,
