"Time","value {model=""llama3"", name=""response_time_code_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_code_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_comprehension_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_comprehension_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_knowledge_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_knowledge_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_logic_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_logic_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_math_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_math_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_science_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_science_open"", scenario=""default""}","value {model=""llama3"", name=""response_time_writing_mc"", scenario=""default""}","value {model=""llama3"", name=""response_time_writing_open"", scenario=""default""}"
2025-04-17 21:51:17,,,2.59 mins,,,,,,,,,,,
2025-04-17 21:52:38,,,,,,,,,,,,4.78 mins,,
2025-04-17 21:53:10,,,,,,,,,,,,3.99 mins,,
2025-04-17 21:55:19,,,,,,,,,,,2.66 mins,,,
2025-04-17 21:55:36,,,,,,,,,,,2.42 mins,,,
2025-04-17 21:56:11,,,,,,51.26 s,,,,,,,,
2025-04-17 21:56:25,,,,,13.27 s,,,,,,,,,
2025-04-17 21:56:38,,,,,,1.01 mins,,,,,,,,
2025-04-17 21:56:44,,,,,,,,,,,,5.44 mins,,
2025-04-17 21:57:07,,,,,28.39 s,,,,,,,,,
2025-04-17 21:57:48,,,,,,,,,,,1.04 mins,,,
2025-04-17 21:58:10,,,,,,21.45 s,,,,,,,,
2025-04-17 21:58:14,,,,,3.12 s,,,,,,,,,
2025-04-17 21:59:41,,,,,,,,,,25.48 s,,,,
2025-04-17 21:59:41,,,,,,,,,,25.48 s,,,,
2025-04-17 21:59:41,,,,,,,,,,25.48 s,,,,
2025-04-17 21:59:48,,,,,,,,,,32.75 s,,,,
2025-04-17 21:59:51,,,,,,,,,,35.41 s,,,,
2025-04-17 21:59:53,,,,,,,,,,37.85 s,,,,
2025-04-17 21:59:53,,,,,,,,,,37.84 s,,,,
2025-04-17 22:00:04,,,,,,,,,,48.08 s,,,,
2025-04-17 22:00:20,,,,,,,,,37.84 s,,,,,
2025-04-17 22:00:21,,,,,,,,,,1.10 mins,,,,
2025-04-17 22:00:42,,,,,,,,,1.01 mins,,,,,
2025-04-17 22:00:47,,,,,,,,,58.09 s,,,,,
2025-04-17 22:00:51,,,,,,,,,1.15 mins,,,,,
2025-04-17 22:00:58,,,,,,,,,1.11 mins,,,,,
2025-04-17 22:01:05,,,,,,,,,1.18 mins,,,,,
2025-04-17 22:01:06,,,,,,,,,1.20 mins,,,,,
2025-04-17 22:01:13,,,,,,,,,,1.97 mins,,,,
2025-04-17 22:01:31,,,,,,,,,1.15 mins,,,,,
2025-04-17 22:01:38,,,,,,,,,1.57 mins,,,,,
2025-04-17 22:02:16,,,,,,,,1.92 mins,,,,,,
2025-04-17 22:02:20,,,,,,,,1.62 mins,,,,,,
2025-04-17 22:02:32,,,,,,,,1.67 mins,,,,,,
2025-04-17 22:02:34,,,,,,,,1.77 mins,,,,,,
2025-04-17 22:02:44,,,,,,,,1.75 mins,,,,,,
2025-04-17 22:02:59,,,,,,,,,1.74 mins,,,,,
2025-04-17 22:03:18,,,,,,,,2.19 mins,,,,,,
2025-04-17 22:03:42,,,,,,,,2.16 mins,,,,,,
2025-04-17 22:03:42,,,,,,,,2.58 mins,,,,,,
2025-04-17 22:04:20,,,,,,,,2.68 mins,,,,,,
2025-04-17 22:05:35,,,,,,,2.99 mins,,,,,,,
2025-04-17 22:06:01,,,,,,,3.46 mins,,,,,,,
2025-04-17 22:06:31,,,,,,,,3.53 mins,,,,,,
2025-04-17 22:06:55,,,,,,,4.64 mins,,,,,,,
2025-04-17 22:07:57,,,,,,,5.60 mins,,,,,,,
2025-04-17 22:08:54,,,,,,,6.15 mins,,,,,,,
2025-04-17 22:09:10,,,,,,,5.86 mins,,,,,,,
2025-04-17 22:09:35,,,,,,,5.88 mins,,,,,,,
2025-04-17 22:10:07,,,,,,,6.40 mins,,,,,,,
2025-04-17 22:12:10,,,,,,,5.62 mins,,,,,,,
2025-04-17 22:12:27,,,,,,,8.09 mins,,,,,,,
2025-04-17 22:14:36,,8.58 mins,,,,,,,,,,,,
2025-04-17 22:14:46,,9.17 mins,,,,,,,,,,,,
2025-04-17 22:15:39,,8.71 mins,,,,,,,,,,,,
2025-04-17 22:17:53,,9.91 mins,,,,,,,,,,,,
2025-04-17 22:18:15,,9.06 mins,,,,,,,,,,,,
2025-04-17 22:19:00,,9.40 mins,,,,,,,,,,,,
2025-04-17 22:19:59,,11.07 mins,,,,,,,,,,,,
2025-04-17 22:21:10,,11.04 mins,,,,,,,,,,,,
2025-04-17 22:23:16,8.64 mins,,,,,,,,,,,,,
2025-04-17 22:23:47,,11.60 mins,,,,,,,,,,,,
2025-04-17 22:24:40,9.88 mins,,,,,,,,,,,,,
2025-04-17 22:24:57,,12.50 mins,,,,,,,,,,,,
2025-04-17 22:25:56,8.04 mins,,,,,,,,,,,,,
2025-04-17 22:26:10,6.15 mins,,,,,,,,,,,,,
2025-04-17 22:26:18,10.63 mins,,,,,,,,,,,,,
2025-04-17 22:26:39,8.39 mins,,,,,,,,,,,,,
2025-04-17 22:27:40,8.64 mins,,,,,,,,,,,,,
2025-04-17 22:29:09,7.97 mins,,,,,,,,,,,,,
2025-04-17 22:29:48,6.01 mins,,,,,,,,,,,,,
2025-04-17 22:31:49,6.84 mins,,,,,,,,,,,,,
2025-04-17 22:36:41,,,,,,,,,,,,,,13.40 mins
2025-04-17 22:38:05,,,,,,,,,,,,,,13.41 mins
2025-04-17 22:39:41,,,,,,,,,,,,,,13.74 mins
2025-04-17 22:42:35,,,,,,,,,,,,,,16.41 mins
2025-04-17 22:47:07,,,,,,,,,,,,,,20.45 mins
2025-04-17 22:47:16,,,,,,,,,,,,,,20.95 mins
2025-04-17 22:49:24,,,,,,,,,,,,,,21.71 mins
2025-04-17 22:51:41,,,,,,,,,,,,,14.99 mins,
2025-04-17 22:52:35,,,,,,,,,,,,,,23.42 mins
2025-04-17 22:54:48,,,,,,,,,,,,,16.70 mins,
2025-04-17 22:55:55,,,,,,,,,,,,,16.21 mins,
2025-04-17 22:56:42,,,,,,,,,,,,,9.57 mins,
2025-04-17 22:57:03,,,,,,,,,,,,,,25.22 mins
2025-04-17 22:57:33,,,,,,,,,,,,,14.94 mins,
2025-04-17 22:58:03,,,,6.36 mins,,,,,,,,,,
2025-04-17 22:58:28,,,,,,,,,,,,,,28.65 mins
2025-04-17 22:58:57,,,,4.13 mins,,,,,,,,,,
2025-04-17 22:59:21,,,,3.43 mins,,,,,,,,,,
2025-04-17 22:59:46,,,,3.04 mins,,,,,,,,,,
2025-04-17 23:00:14,,,,,,,,,,,,,12.95 mins,
2025-04-17 23:00:14,,,,,,,,,,,,,7.64 mins,
2025-04-17 23:00:38,,,,,,,,,,,,,11.22 mins,
2025-04-17 23:00:50,,,,3.28 mins,,,,,,,,,,
2025-04-17 23:02:03,,,,,,,,,,,,,4.98 mins,
2025-04-17 23:02:17,,,3.32 mins,,,,,,,,,,,
2025-04-17 23:02:58,,,,,,,,,,,,,4.48 mins,
2025-04-17 23:03:25,,,,3.16 mins,,,,,,,,,,
2025-04-17 23:03:44,,,5.66 mins,,,,,,,,,,,
2025-04-17 23:03:46,,,,3.51 mins,,,,,,,,,,
2025-04-17 23:04:05,,,,3.44 mins,,,,,,,,,,
2025-04-17 23:04:28,,,,2.40 mins,,,,,,,,,,
2025-04-17 23:04:38,,,5.25 mins,,,,,,,,,,,
2025-04-17 23:05:10,,,,2.18 mins,,,,,,,,,,
2025-04-17 23:05:27,,,5.67 mins,,,,,,,,,,,
2025-04-17 23:07:04,,,6.20 mins,,,,,,,,,,,
2025-04-17 23:07:30,,,4.07 mins,,,,,,,,,,,
2025-04-17 23:09:01,,,5.24 mins,,,,,,,,,,,
2025-04-17 23:09:29,,,5.39 mins,,,,,,,,,,,
2025-04-17 23:09:59,,,,,,,,,,,,7.68 mins,,
2025-04-17 23:10:27,,,,,,,,,,,,6.70 mins,,
2025-04-17 23:11:35,,,7.11 mins,,,,,,,,,,,
2025-04-17 23:12:07,,,6.94 mins,,,,,,,,,,,
2025-04-17 23:15:09,,,,,,,,,,,,10.51 mins,,
2025-04-17 23:16:53,,,,,,,,,,,,11.43 mins,,
2025-04-17 23:18:13,,,,,,,,,,,,11.14 mins,,
2025-04-17 23:18:35,,,,,,,,,,,,11.06 mins,,
2025-04-17 23:20:35,,,,,,,,,,,10.59 mins,,,
2025-04-17 23:21:30,,,,,,,,,,,11.04 mins,,,
2025-04-17 23:21:32,,,,,,,,,,,,12.50 mins,,
2025-04-17 23:23:39,,,,,,,,,,,,14.14 mins,,
2025-04-17 23:24:10,,,,,,,,,,,8.99 mins,,,
2025-04-17 23:25:55,,,,,,,,,,,9.01 mins,,,
2025-04-17 23:26:41,,,,,,,,,,,,15.08 mins,,
2025-04-17 23:26:49,,,,,,,,,,,8.59 mins,,,
2025-04-17 23:27:28,,,,,,,,,,,,15.34 mins,,
2025-04-17 23:27:59,,,,,,,,,,,9.39 mins,,,
2025-04-17 23:28:03,,,,,,7.44 mins,,,,,,,,
2025-04-17 23:29:24,,,,,,7.88 mins,,,,,,,,
2025-04-17 23:30:11,,,,,,,,,,,8.64 mins,,,
2025-04-17 23:30:36,,,,,,4.66 mins,,,,,,,,
2025-04-17 23:30:48,,,,,,6.62 mins,,,,,,,,
2025-04-17 23:31:13,,,,,,,,,,,7.56 mins,,,
2025-04-17 23:31:41,,,,,,4.84 mins,,,,,,,,
2025-04-17 23:31:55,,,,,3.86 mins,,,,,,,,,
2025-04-17 23:32:25,,,,,,,,,,,5.71 mins,,,
2025-04-17 23:32:32,,,,,,4.52 mins,,,,,,,,
2025-04-17 23:32:43,,,,,3.30 mins,,,,,,,,,
2025-04-17 23:33:18,,,,,2.68 mins,,,,,,,,,
2025-04-17 23:33:18,,,,,,,,,,,5.81 mins,,,
2025-04-17 23:33:31,,,,,2.69 mins,,,,,,,,,
2025-04-17 23:33:36,,,,,1.90 mins,,,,,,,,,
2025-04-17 23:33:46,,,,,1.22 mins,,,,,,,,,
2025-04-17 23:33:58,,,,,,3.76 mins,,,,,,,,
2025-04-17 23:34:31,,,,,,3.28 mins,,,,,,,,
2025-04-17 23:34:41,,,,,,2.25 mins,,,,,,,,
2025-04-17 23:34:50,,,,,17.86 s,,,,,,,,,
2025-04-17 23:34:52,,,,,52.51 s,,,,,,,,,
2025-04-17 23:34:59,,,,,,1.67 mins,,,,,,,,
2025-04-17 23:35:10,,,,,28.60 s,,,,,,,,,
2025-04-17 23:35:19,,,,,18.92 s,,,,,,,,,
