"Time","value {model=""deepseek-r1:8b"", name=""response_time_code_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_code_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_comprehension_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_comprehension_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_knowledge_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_knowledge_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_logic_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_logic_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_math_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_math_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_science_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_science_open"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_writing_mc"", scenario=""default""}","value {model=""deepseek-r1:8b"", name=""response_time_writing_open"", scenario=""default""}"
2025-04-13 21:55:40,,,,,,,,,,9.93 mins,,,,
2025-04-13 21:56:30,,,,,,,,,,10.75 mins,,,,
2025-04-13 21:58:06,,,,,,,,,,12.35 mins,,,,
2025-04-13 21:59:51,,,,,,,,,,14.11 mins,,,,
2025-04-13 22:00:22,,,,,,,,,9.86 mins,,,,,
2025-04-13 22:01:22,,,,,,,,,10.72 mins,,,,,
2025-04-13 22:02:30,,,,,,,,,10.81 mins,,,,,
2025-04-13 22:03:43,,,,,,,,,8.63 mins,,,,,
2025-04-13 22:04:43,,,,,,,,,,18.97 mins,,,,
2025-04-13 22:05:07,,,,,,,,,13.42 mins,,,,,
2025-04-13 22:06:12,,,,,,,,,9.67 mins,,,,,
2025-04-13 22:07:00,,,,,,,,,11.31 mins,,,,,
2025-04-13 22:08:23,,,,,,,,,10.27 mins,,,,,
2025-04-13 22:08:57,,,,,,,,,9.07 mins,,,,,
2025-04-13 22:10:43,,,,,,,,9.33 mins,,,,,,
2025-04-13 22:11:24,,,,,,,,11.02 mins,,,,,,
2025-04-13 22:13:28,,,,,,,,10.95 mins,,,,,,
2025-04-13 22:14:06,,,,,,,,10.36 mins,,,,,,
2025-04-13 22:14:09,,,,,,,,,9.42 mins,,,,,
2025-04-13 22:15:33,,,,,,,,10.41 mins,,,,,,
2025-04-13 22:17:57,,,,,,,,10.93 mins,,,,,,
2025-04-13 22:18:50,,,,,,,,10.42 mins,,,,,,
2025-04-13 22:19:32,,,,,,,,13.33 mins,,,,,,
2025-04-13 22:22:58,,,,,,,,14.00 mins,,,,,,
2025-04-13 22:24:57,,,,,,,13.53 mins,,,,,,,
2025-04-13 22:26:07,,,,,,,15.39 mins,,,,,,,
2025-04-13 22:28:35,,,,,,,,14.41 mins,,,,,,
2025-04-13 22:29:47,,,,,,,15.66 mins,,,,,,,
2025-04-13 22:35:57,,,,,,,17.99 mins,,,,,,,
2025-04-13 22:43:48,,,,,,,24.95 mins,,,,,,,
2025-04-13 22:44:15,,,,,,,28.69 mins,,,,,,,
2025-04-13 22:51:53,,,,,,,32.33 mins,,,,,,,
2025-04-13 23:16:00,,51.04 mins,,,,,,,,,,,,
2025-04-13 23:22:24,,,,,,,1.15 hours,,,,,,,
2025-04-13 23:28:39,,,,,,,1.09 hours,,,,,,,
2025-04-13 23:30:10,,,,,,,1.03 hours,,,,,,,
2025-04-13 23:47:12,,1.35 hours,,,,,,,,,,,,
2025-04-13 23:56:32,,1.45 hours,,,,,,,,,,,,
2025-04-14 00:00:03,,1.40 hours,,,,,,,,,,,,
2025-04-14 00:09:19,53.30 mins,,,,,,,,,,,,,
2025-04-14 00:14:01,,1.50 hours,,,,,,,,,,,,
2025-04-14 00:24:16,,1.67 hours,,,,,,,,,,,,
2025-04-14 00:31:54,,1.67 hours,,,,,,,,,,,,
2025-04-14 00:40:58,53.76 mins,,,,,,,,,,,,,
2025-04-14 00:51:44,55.17 mins,,,,,,,,,,,,,
2025-04-14 00:57:58,,1.49 hours,,,,,,,,,,,,
2025-04-14 01:00:56,1.01 hours,,,,,,,,,,,,,
2025-04-14 01:02:25,,1.67 hours,,,,,,,,,,,,
2025-04-14 01:10:11,,1.67 hours,,,,,,,,,,,,
2025-04-14 01:12:52,58.84 mins,,,,,,,,,,,,,
2025-04-14 01:18:48,46.88 mins,,,,,,,,,,,,,
2025-04-14 01:18:58,54.68 mins,,,,,,,,,,,,,
2025-04-14 01:28:48,30.81 mins,,,,,,,,,,,,,
2025-04-14 01:29:24,,,,,,,,,,,,,,1.33 hours
2025-04-14 01:37:29,,,,,,,,,,,,,,45.74 mins
2025-04-14 01:37:58,35.54 mins,,,,,,,,,,,,,
2025-04-14 01:44:14,,,,,,,,,,,,,,1.05 hours
2025-04-14 01:46:31,36.33 mins,,,,,,,,,,,,,
2025-04-14 01:57:17,,,,,,,,,,,,,,56.33 mins
2025-04-14 02:04:17,,,,,,,,,,,,,,51.41 mins
2025-04-14 02:06:21,,,,,,,,,,,,,,47.54 mins
2025-04-14 02:11:24,,,,,,,,,,,,,,52.43 mins
2025-04-14 02:16:08,,,,,,,,,,,,,38.64 mins,
2025-04-14 02:16:51,,,,,,,,,,,,,47.44 mins,
2025-04-14 02:27:44,,,,,,,,,,,,,,58.92 mins
2025-04-14 02:32:12,,,,,,,,,,,,,47.95 mins,
2025-04-14 02:32:44,,,,,,,,,,,,,,54.76 mins
2025-04-14 02:37:00,,,,,,,,,,,,,39.71 mins,
2025-04-14 02:44:25,,,,,,,,,,,,,40.11 mins,
2025-04-14 02:44:53,,,,,,,,,,,,,,58.35 mins
2025-04-14 02:44:54,,,,,,,,,,,,,38.53 mins,
2025-04-14 02:48:35,,,,,,,,,,,,,37.16 mins,
2025-04-14 02:48:51,,,,32.70 mins,,,,,,,,,,
2025-04-14 02:49:18,,,,32.43 mins,,,,,,,,,,
2025-04-14 02:53:18,,,,21.09 mins,,,,,,,,,,
2025-04-14 02:55:07,,,,18.09 mins,,,,,,,,,,
2025-04-14 02:55:51,,,,,,,,,,,,,23.09 mins,
2025-04-14 02:57:24,,,,,,,,,,,,,29.65 mins,
2025-04-14 02:59:04,,,,14.64 mins,,,,,,,,,,
2025-04-14 03:02:36,,,,17.68 mins,,,,,,,,,,
2025-04-14 03:05:40,,,,,,,,,,,,,20.76 mins,
2025-04-14 03:05:53,,,,17.29 mins,,,,,,,,,,
2025-04-14 03:07:20,,,18.46 mins,,,,,,,,,,,
2025-04-14 03:11:28,,,22.14 mins,,,,,,,,,,,
2025-04-14 03:12:19,,,19.00 mins,,,,,,,,,,,
2025-04-14 03:12:26,,,,16.57 mins,,,,,,,,,,
2025-04-14 03:14:47,,,19.66 mins,,,,,,,,,,,
2025-04-14 03:16:46,,,,19.36 mins,,,,,,,,,,
2025-04-14 03:17:51,,,18.76 mins,,,,,,,,,,,
2025-04-14 03:22:12,,,,16.52 mins,,,,,,,,,,
2025-04-14 03:23:10,,,20.55 mins,,,,,,,,,,,
2025-04-14 03:23:39,,,17.75 mins,,,,,,,,,,,
2025-04-14 03:30:54,,,18.44 mins,,,,,,,,,,,
2025-04-14 03:37:25,,,,,,,,,,,,30.08 mins,,
2025-04-14 03:39:36,,,,,,,,,,,,27.26 mins,,
2025-04-14 03:44:24,,,27.61 mins,,,,,,,,,,,
2025-04-14 03:45:27,,,,,,,,,,,,33.98 mins,,
2025-04-14 03:52:05,,,,,,,,,,,,37.28 mins,,
2025-04-14 03:53:01,,,,,,,,,,,,35.15 mins,,
2025-04-14 03:53:34,,,31.35 mins,,,,,,,,,,,
2025-04-14 04:00:30,,,,,,,,,,,23.07 mins,,,
2025-04-14 04:03:49,,,,,,,,,,,,40.63 mins,,
2025-04-14 04:07:12,,,,,,,,,,,,43.53 mins,,
2025-04-14 04:08:00,,,,,,,,,,,28.38 mins,,,
2025-04-14 04:13:41,,,,,,,,,,,21.58 mins,,,
2025-04-14 04:16:27,,,,,,,,,,,30.98 mins,,,
2025-04-14 04:19:37,,,,,,,,,,,,48.71 mins,,
2025-04-14 04:23:14,,,,,,,,,,,30.21 mins,,,
2025-04-14 04:30:12,,,,,,29.69 mins,,,,,,,,
2025-04-14 04:30:44,,,,,,,,,,,,46.31 mins,,
2025-04-14 04:31:35,,,,,,,,,,,,38.00 mins,,
2025-04-14 04:32:58,,,,,,,,,,,29.13 mins,,,
2025-04-14 04:36:51,,,,,,28.84 mins,,,,,,,,
2025-04-14 04:41:54,,,,,,,,,,,34.69 mins,,,
2025-04-14 04:42:29,,,,,,,,,,,22.85 mins,,,
2025-04-14 04:44:11,,,,,,30.49 mins,,,,,,,,
2025-04-14 04:47:04,,,,,,30.59 mins,,,,,,,,
2025-04-14 04:48:15,,,,,18.03 mins,,,,,,,,,
2025-04-14 04:52:09,,,,,,28.89 mins,,,,,,,,
2025-04-14 04:54:04,,,,,,,,,,,23.32 mins,,,
2025-04-14 04:56:51,,,,,,23.86 mins,,,,,,,,
2025-04-14 04:57:08,,,,,20.26 mins,,,,,,,,,
2025-04-14 04:57:25,,,,,,,,,,,25.81 mins,,,
2025-04-14 05:02:37,,,,,,20.70 mins,,,,,,,,
2025-04-14 05:03:00,,,,,18.79 mins,,,,,,,,,
2025-04-14 05:05:41,,,,,18.61 mins,,,,,,,,,
2025-04-14 05:09:08,,,,,16.96 mins,,,,,,,,,
2025-04-14 05:10:07,,,,,,27.62 mins,,,,,,,,
2025-04-14 05:10:59,,,,,,16.90 mins,,,,,,,,
2025-04-14 05:13:30,,,,,16.64 mins,,,,,,,,,
2025-04-14 05:16:08,,,,,5.99 mins,,,,,,,,,
2025-04-14 05:16:17,,,,,13.66 mins,,,,,,,,,
2025-04-14 05:18:27,,,,,,21.02 mins,,,,,,,,
2025-04-14 05:18:37,,,,,7.62 mins,,,,,,,,,
2025-04-14 05:20:45,,,,,2.28 mins,,,,,,,,,
